Month,rohtang pass temperature: (India)
2010-01,0
2010-02,24
2010-03,0
2010-04,53
2010-05,12
2010-06,23
2010-07,19
2010-08,0
2010-09,19
2010-10,62
2010-11,0
2010-12,0
2011-01,20
2011-02,0
2011-03,6
2011-04,0
2011-05,13
2011-06,21
2011-07,11
2011-08,0
2011-09,6
2011-10,7
2011-11,12
2011-12,0
2012-01,0
2012-02,0
2012-03,3
2012-04,9
2012-05,16
2012-06,45
2012-07,7
2012-08,5
2012-09,9
2012-10,12
2012-11,12
2012-12,8
2013-01,11
2013-02,0
2013-03,12
2013-04,14
2013-05,49
2013-06,34
2013-07,6
2013-08,7
2013-09,8
2013-10,9
2013-11,8
2013-12,9
2014-01,8
2014-02,2
2014-03,6
2014-04,11
2014-05,21
2014-06,35
2014-07,10
2014-08,10
2014-09,10
2014-10,4
2014-11,16
2014-12,17
2015-01,4
2015-02,5
2015-03,11
2015-04,17
2015-05,41
2015-06,55
2015-07,13
2015-08,6
2015-09,15
2015-10,17
2015-11,25
2015-12,32
2016-01,20
2016-02,9
2016-03,16
2016-04,33
2016-05,79
2016-06,54
2016-07,17
2016-08,8
2016-09,12
2016-10,24
2016-11,27
2016-12,31
2017-01,33
2017-02,13
2017-03,17
2017-04,31
2017-05,61
2017-06,100
2017-07,22
2017-08,14
2017-09,21
2017-10,37
2017-11,42
2017-12,47
2018-01,36
2018-02,12
2018-03,18
2018-04,33
2018-05,77
2018-06,70
2018-07,16
2018-08,8
2018-09,15
2018-10,25
2018-11,21
2018-12,30
2019-01,23
2019-02,11
2019-03,9
2019-04,23
2019-05,52
2019-06,74
2019-07,22
2019-08,10
2019-09,15
2019-10,28
2019-11,30
2019-12,49
