Month,shimla temperature: (India)
2010-01,21
2010-02,5
2010-03,12
2010-04,17
2010-05,23
2010-06,17
2010-07,5
2010-08,5
2010-09,1
2010-10,5
2010-11,7
2010-12,22
2011-01,19
2011-02,5
2011-03,5
2011-04,7
2011-05,12
2011-06,10
2011-07,4
2011-08,4
2011-09,2
2011-10,4
2011-11,5
2011-12,16
2012-01,13
2012-02,6
2012-03,6
2012-04,7
2012-05,16
2012-06,20
2012-07,8
2012-08,4
2012-09,5
2012-10,7
2012-11,7
2012-12,20
2013-01,31
2013-02,9
2013-03,9
2013-04,9
2013-05,26
2013-06,15
2013-07,4
2013-08,4
2013-09,4
2013-10,5
2013-11,8
2013-12,18
2014-01,14
2014-02,6
2014-03,7
2014-04,9
2014-05,12
2014-06,22
2014-07,7
2014-08,5
2014-09,6
2014-10,6
2014-11,8
2014-12,31
2015-01,13
2015-02,7
2015-03,9
2015-04,13
2015-05,25
2015-06,22
2015-07,7
2015-08,5
2015-09,8
2015-10,10
2015-11,10
2015-12,39
2016-01,25
2016-02,11
2016-03,12
2016-04,20
2016-05,39
2016-06,26
2016-07,9
2016-08,7
2016-09,7
2016-10,8
2016-11,14
2016-12,35
2017-01,55
2017-02,14
2017-03,19
2017-04,25
2017-05,42
2017-06,39
2017-07,11
2017-08,9
2017-09,11
2017-10,13
2017-11,23
2017-12,52
2018-01,49
2018-02,18
2018-03,19
2018-04,23
2018-05,41
2018-06,32
2018-07,12
2018-08,7
2018-09,8
2018-10,11
2018-11,20
2018-12,58
2019-01,50
2019-02,27
2019-03,17
2019-04,23
2019-05,31
2019-06,46
2019-07,15
2019-08,9
2019-09,10
2019-10,12
2019-11,22
2019-12,100
